Trust_Name,Staff_Group,UK_Staff_FTE,Overseas_Staff_FTE,Vacancies_FTE
Cambridgeshire and Peterborough NHS Foundation Trust,Doctors,134.5,79.8,2.0
Cambridgeshire and Peterborough NHS Foundation Trust,Nurses & Midwives,766.0,339.1,11.4
Cambridgeshire and Peterborough NHS Foundation Trust,Support Staff,2496.0,504.9,33.9
Central London Community Healthcare NHS Trust,Doctors,35.3,20.9,0.5
Central London Community Healthcare NHS Trust,Nurses & Midwives,1332.4,589.9,19.9
Central London Community Healthcare NHS Trust,Support Staff,2346.6,474.7,31.9
Central and North West London NHS Foundation Trust,Doctors,304.3,180.6,4.6
Central and North West London NHS Foundation Trust,Nurses & Midwives,1644.3,728.1,24.6
Central and North West London NHS Foundation Trust,Support Staff,4198.5,849.3,57.1
Chelsea and Westminster Hospital NHS Foundation Trust,Doctors,929.9,552.0,14.1
Chelsea and Westminster Hospital NHS Foundation Trust,Nurses & Midwives,1834.4,812.3,27.4
Chelsea and Westminster Hospital NHS Foundation Trust,Support Staff,2497.1,505.1,34.0
Cheshire and Wirral Partnership NHS Foundation Trust,Doctors,105.9,62.9,1.6
Cheshire and Wirral Partnership NHS Foundation Trust,Nurses & Midwives,850.9,376.8,12.7
Cheshire and Wirral Partnership NHS Foundation Trust,Support Staff,2078.8,420.5,28.3
Chesterfield Royal Hospital NHS Foundation Trust,Doctors,335.7,199.3,5.1
Chesterfield Royal Hospital NHS Foundation Trust,Nurses & Midwives,875.8,387.8,13.1
Chesterfield Royal Hospital NHS Foundation Trust,Support Staff,1671.3,338.1,22.7
Christie NHS Foundation Trust,Doctors,257.8,153.1,3.9
Christie NHS Foundation Trust,Nurses & Midwives,640.8,283.7,9.6
Christie NHS Foundation Trust,Support Staff,2183.3,441.7,29.7
Clatterbridge Cancer Centre NHS Foundation Trust,Doctors,109.6,65.1,1.7
Clatterbridge Cancer Centre NHS Foundation Trust,Nurses & Midwives,317.7,140.7,4.7
Clatterbridge Cancer Centre NHS Foundation Trust,Support Staff,1009.9,204.3,13.7
Cornwall Partnership NHS Foundation Trust,Doctors,76.7,45.5,1.2
Cornwall Partnership NHS Foundation Trust,Nurses & Midwives,862.2,381.7,12.9
Cornwall Partnership NHS Foundation Trust,Support Staff,2391.9,483.8,32.5
Countess of Chester Hospital NHS Foundation Trust,Doctors,345.6,205.2,5.2
Countess of Chester Hospital NHS Foundation Trust,Nurses & Midwives,918.4,406.7,13.7
Countess of Chester Hospital NHS Foundation Trust,Support Staff,2070.7,418.9,28.2
County Durham and Darlington NHS Foundation Trust,Doctors,589.6,350.1,8.9
County Durham and Darlington NHS Foundation Trust,Nurses & Midwives,1834.0,812.0,27.4
County Durham and Darlington NHS Foundation Trust,Support Staff,3450.9,698.1,46.9
Coventry and Warwickshire Partnership NHS Trust,Doctors,106.5,63.3,1.6
Coventry and Warwickshire Partnership NHS Trust,Nurses & Midwives,635.6,281.4,9.5
Coventry and Warwickshire Partnership NHS Trust,Support Staff,2058.3,416.4,28.0
Croydon Health Services NHS Trust,Doctors,382.9,227.3,5.8
Croydon Health Services NHS Trust,Nurses & Midwives,1000.3,442.9,14.9
Croydon Health Services NHS Trust,Support Staff,1796.7,363.4,24.4
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",Doctors,278.3,165.2,4.2
