Trust_Name,Staff_Group,UK_Staff_FTE,Overseas_Staff_FTE,Vacancies_FTE
North East London NHS Foundation Trust,Doctors,192.3,114.2,2.9
North East London NHS Foundation Trust,Nurses & Midwives,1593.0,705.4,23.8
North East London NHS Foundation Trust,Support Staff,3762.9,761.2,51.2
North London NHS Foundation Trust,Doctors,273.4,162.3,4.1
North London NHS Foundation Trust,Nurses & Midwives,1025.9,454.3,15.3
North London NHS Foundation Trust,Support Staff,3133.7,633.9,42.6
North Staffordshire Combined Healthcare NHS Trust,Doctors,41.0,24.3,0.6
North Staffordshire Combined Healthcare NHS Trust,Nurses & Midwives,384.0,170.0,5.7
North Staffordshire Combined Healthcare NHS Trust,Support Staff,945.8,191.3,12.9
North Tees and Hartlepool NHS Foundation Trust,Doctors,344.4,204.4,5.2
North Tees and Hartlepool NHS Foundation Trust,Nurses & Midwives,1087.8,481.6,16.3
North Tees and Hartlepool NHS Foundation Trust,Support Staff,2531.6,512.1,34.4
North West Ambulance Service NHS Trust,Doctors,1.6,1.0,0.0
North West Ambulance Service NHS Trust,Nurses & Midwives,96.8,42.9,1.4
North West Ambulance Service NHS Trust,Support Staff,5956.7,1204.9,81.0
North West Anglia NHS Foundation Trust,Doctors,673.4,399.8,10.2
North West Anglia NHS Foundation Trust,Nurses & Midwives,1564.3,692.7,23.4
North West Anglia NHS Foundation Trust,Support Staff,2949.7,596.7,40.1
Northampton General Hospital NHS Trust,Doctors,526.6,312.7,8.0
Northampton General Hospital NHS Trust,Nurses & Midwives,1196.7,529.9,17.9
Northampton General Hospital NHS Trust,Support Staff,2590.1,523.9,35.2
Northamptonshire Healthcare NHS Foundation Trust,Doctors,106.5,63.3,1.6
Northamptonshire Healthcare NHS Foundation Trust,Nurses & Midwives,1076.8,476.8,16.1
Northamptonshire Healthcare NHS Foundation Trust,Support Staff,2540.3,513.9,34.6
Northern Care Alliance NHS Foundation Trust,Doctors,1393.5,827.3,21.1
Northern Care Alliance NHS Foundation Trust,Nurses & Midwives,3821.3,1692.0,57.1
Northern Care Alliance NHS Foundation Trust,Support Staff,9088.9,1838.5,123.6
Northern Lincolnshire and Goole NHS Foundation Trust,Doctors,433.9,257.6,6.6
Northern Lincolnshire and Goole NHS Foundation Trust,Nurses & Midwives,1278.8,566.2,19.1
Northern Lincolnshire and Goole NHS Foundation Trust,Support Staff,3118.3,630.8,42.4
Northumbria Healthcare NHS Foundation Trust,Doctors,520.6,309.0,7.9
Northumbria Healthcare NHS Foundation Trust,Nurses & Midwives,1654.4,732.5,24.7
Northumbria Healthcare NHS Foundation Trust,Support Staff,4475.9,905.4,60.9
Nottingham University Hospitals NHS Trust,Doctors,1500.8,891.0,22.8
Nottingham University Hospitals NHS Trust,Nurses & Midwives,3711.2,1643.3,55.5
Nottingham University Hospitals NHS Trust,Support Staff,8331.0,1685.2,113.3
Nottinghamshire Healthcare NHS Foundation Trust,Doctors,168.1,99.8,2.6
Nottinghamshire Healthcare NHS Foundation Trust,Nurses & Midwives,1692.0,749.2,25.3
Nottinghamshire Healthcare NHS Foundation Trust,Support Staff,4400.0,890.1,59.8
Oxford Health NHS Foundation Trust,Doctors,172.0,102.1,2.6
Oxford Health NHS Foundation Trust,Nurses & Midwives,1249.0,553.0,18.7
Oxford Health NHS Foundation Trust,Support Staff,3754.9,759.5,51.1
Oxford University Hospitals NHS Foundation Trust,Doctors,1341.0,796.1,20.3
Oxford University Hospitals NHS Foundation Trust,Nurses & Midwives,2983.1,1320.8,44.6
Oxford University Hospitals NHS Foundation Trust,Support Staff,5632.5,1139.4,76.6
Oxleas NHS Foundation Trust,Doctors,140.1,83.1,2.1
Oxleas NHS Foundation Trust,Nurses & Midwives,1004.6,444.8,15.0
Oxleas NHS Foundation Trust,Support Staff,2434.9,492.5,33.1
Pennine Care NHS Foundation Trust,Doctors,138.2,82.0,2.1
Pennine Care NHS Foundation Trust,Nurses & Midwives,876.5,388.1,13.1
Pennine Care NHS Foundation Trust,Support Staff,2278.7,460.9,31.0
Portsmouth Hospitals University NHS Trust,Doctors,788.2,467.9,12.0
Portsmouth Hospitals University NHS Trust,Nurses & Midwives,1908.3,845.0,28.5
Portsmouth Hospitals University NHS Trust,Support Staff,3367.3,681.1,45.8
Princess Alexandra Hospital NHS Trust,Doctors,402.5,238.9,6.1
Princess Alexandra Hospital NHS Trust,Nurses & Midwives,843.4,373.5,12.6
Princess Alexandra Hospital NHS Trust,Support Staff,1573.1,318.2,21.4
Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Doctors,320.0,190.0,4.9
Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Nurses & Midwives,731.8,324.0,10.9
Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Support Staff,1710.1,345.9,23.3
Queen Victoria Hospital NHS Foundation Trust,Doctors,111.1,66.0,1.7
Queen Victoria Hospital NHS Foundation Trust,Nurses & Midwives,137.1,60.7,2.0
Queen Victoria Hospital NHS Foundation Trust,Support Staff,570.7,115.5,7.8
Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Doctors,105.7,62.7,1.6
Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Nurses & Midwives,226.6,100.3,3.4
Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Support Staff,898.0,181.6,12.2
Rotherham Doncaster and South Humber NHS Foundation Trust,Doctors,48.1,28.6,0.7
Rotherham Doncaster and South Humber NHS Foundation Trust,Nurses & Midwives,790.7,350.1,11.8
Rotherham Doncaster and South Humber NHS Foundation Trust,Support Staff,1868.1,377.9,25.4
Rotherham NHS Foundation Trust,Doctors,301.6,179.0,4.6
Rotherham NHS Foundation Trust,Nurses & Midwives,902.2,399.5,13.5
Rotherham NHS Foundation Trust,Support Staff,2057.0,416.1,28.0
Royal Berkshire NHS Foundation Trust,Doctors,563.6,334.6,8.6
Royal Berkshire NHS Foundation Trust,Nurses & Midwives,1382.4,612.1,20.7
Royal Berkshire NHS Foundation Trust,Support Staff,2644.3,534.9,36.0
Royal Cornwall Hospitals NHS Trust,Doctors,603.5,358.3,9.2
Royal Cornwall Hospitals NHS Trust,Nurses & Midwives,1161.5,514.3,17.4
Royal Cornwall Hospitals NHS Trust,Support Staff,3313.3,670.2,45.1
Royal Devon University Healthcare NHS Foundation Trust,Doctors,904.8,537.1,13.7
Royal Devon University Healthcare NHS Foundation Trust,Nurses & Midwives,2217.7,981.9,33.1
Royal Devon University Healthcare NHS Foundation Trust,Support Staff,6129.1,1239.8,83.4
Royal Free London NHS Foundation Trust,Doctors,1633.6,969.8,24.8
Royal Free London NHS Foundation Trust,Nurses & Midwives,3536.1,1565.7,52.8
Royal Free London NHS Foundation Trust,Support Staff,7187.6,1453.9,97.8
Royal Marsden NHS Foundation Trust,Doctors,348.1,206.7,5.3
Royal Marsden NHS Foundation Trust,Nurses & Midwives,836.7,370.5,12.5
Royal Marsden NHS Foundation Trust,Support Staff,2410.7,487.7,32.8
Royal National Orthopaedic Hospital NHS Trust,Doctors,142.8,84.7,2.2
Royal National Orthopaedic Hospital NHS Trust,Nurses & Midwives,298.0,131.9,4.5
Royal National Orthopaedic Hospital NHS Trust,Support Staff,836.3,169.2,11.4
Royal Orthopaedic Hospital NHS Foundation Trust,Doctors,85.5,50.8,1.3
Royal Orthopaedic Hospital NHS Foundation Trust,Nurses & Midwives,199.7,88.4,3.0
Royal Orthopaedic Hospital NHS Foundation Trust,Support Staff,672.0,135.9,9.1
Royal Papworth Hospital NHS Foundation Trust,Doctors,174.9,103.8,2.7
Royal Papworth Hospital NHS Foundation Trust,Nurses & Midwives,512.3,226.8,7.7
Royal Papworth Hospital NHS Foundation Trust,Support Staff,950.9,192.4,12.9
Royal Surrey NHS Foundation Trust,Doctors,497.8,295.5,7.6
Royal Surrey NHS Foundation Trust,Nurses & Midwives,1020.2,451.7,15.2
Royal Surrey NHS Foundation Trust,Support Staff,2220.4,449.1,30.2
Royal United Hospitals Bath NHS Foundation Trust,Doctors,482.0,286.1,7.3
Royal United Hospitals Bath NHS Foundation Trust,Nurses & Midwives,1236.8,547.6,18.5
Royal United Hospitals Bath NHS Foundation Trust,Support Staff,2751.8,556.7,37.4
Royal Wolverhampton NHS Trust,Doctors,749.5,445.0,11.4
Royal Wolverhampton NHS Trust,Nurses & Midwives,1918.7,849.6,28.7
Royal Wolverhampton NHS Trust,Support Staff,4855.5,982.2,66.0
Salisbury NHS Foundation Trust,Doctors,322.6,191.5,4.9
Salisbury NHS Foundation Trust,Nurses & Midwives,817.2,361.8,12.2
Salisbury NHS Foundation Trust,Support Staff,1874.5,379.2,25.5
Sandwell and West Birmingham Hospitals NHS Trust,Doctors,586.0,347.9,8.9
Sandwell and West Birmingham Hospitals NHS Trust,Nurses & Midwives,1562.8,692.0,23.4
Sandwell and West Birmingham Hospitals NHS Trust,Support Staff,3154.3,638.1,42.9
Sheffield Children's NHS Foundation Trust,Doctors,246.9,146.5,3.7
Sheffield Children's NHS Foundation Trust,Nurses & Midwives,683.5,302.7,10.2
Sheffield Children's NHS Foundation Trust,Support Staff,1795.6,363.2,24.4
Sheffield Health Partnership University NHS Foundation Trust,Doctors,91.4,54.3,1.4
Sheffield Health Partnership University NHS Foundation Trust,Nurses & Midwives,350.0,155.0,5.2
Sheffield Health Partnership University NHS Foundation Trust,Support Staff,1312.3,265.5,17.8
Sheffield Teaching Hospitals NHS Foundation Trust,Doctors,1171.0,695.2,17.8
Sheffield Teaching Hospitals NHS Foundation Trust,Nurses & Midwives,3023.7,1338.9,45.2
Sheffield Teaching Hospitals NHS Foundation Trust,Support Staff,8036.4,1625.6,109.3
Sherwood Forest Hospitals NHS Foundation Trust,Doctors,472.4,280.5,7.2
Sherwood Forest Hospitals NHS Foundation Trust,Nurses & Midwives,1105.6,489.5,16.5
Sherwood Forest Hospitals NHS Foundation Trust,Support Staff,2586.4,523.2,35.2
Shrewsbury and Telford Hospital NHS Trust,Doctors,610.0,362.1,9.3
Shrewsbury and Telford Hospital NHS Trust,Nurses & Midwives,1491.1,660.2,22.3
Shrewsbury and Telford Hospital NHS Trust,Support Staff,3477.0,703.4,47.3
Shropshire Community Health NHS Trust,Doctors,13.6,8.0,0.2
Shropshire Community Health NHS Trust,Nurses & Midwives,440.5,195.1,6.6
Shropshire Community Health NHS Trust,Support Staff,752.1,152.1,10.2
Somerset NHS Foundation Trust,Doctors,776.3,460.8,11.8
Somerset NHS Foundation Trust,Nurses & Midwives,2294.8,1016.1,34.3
Somerset NHS Foundation Trust,Support Staff,5942.3,1202.0,80.8
South Central Ambulance Service NHS Foundation Trust,Doctors,0.4,0.3,0.0
South Central Ambulance Service NHS Foundation Trust,Nurses & Midwives,119.4,52.8,1.8
South Central Ambulance Service NHS Foundation Trust,Support Staff,2947.9,596.3,40.1
South East Coast Ambulance Service NHS Foundation Trust,Doctors,1.3,0.8,0.0
South East Coast Ambulance Service NHS Foundation Trust,Nurses & Midwives,37.9,16.8,0.6
South East Coast Ambulance Service NHS Foundation Trust,Support Staff,3717.8,752.0,50.6
South London and Maudsley NHS Foundation Trust,Doctors,325.7,193.3,4.9
South London and Maudsley NHS Foundation Trust,Nurses & Midwives,936.9,414.8,14.0
South London and Maudsley NHS Foundation Trust,Support Staff,3562.9,720.7,48.5
South Tees Hospitals NHS Foundation Trust,Doctors,749.1,444.7,11.4
South Tees Hospitals NHS Foundation Trust,Nurses & Midwives,2089.4,925.2,31.2
South Tees Hospitals NHS Foundation Trust,Support Staff,4254.4,860.6,57.9
South Tyneside and Sunderland NHS Foundation Trust,Doctors,632.5,375.5,9.6
South Tyneside and Sunderland NHS Foundation Trust,Nurses & Midwives,2108.8,933.7,31.5
South Tyneside and Sunderland NHS Foundation Trust,Support Staff,3207.9,648.9,43.6
South Warwickshire University NHS Foundation Trust,Doctors,350.6,208.1,5.3
South Warwickshire University NHS Foundation Trust,Nurses & Midwives,1155.7,511.7,17.3
South Warwickshire University NHS Foundation Trust,Support Staff,2182.7,441.5,29.7
South West London and St George's Mental Health NHS Trust,Doctors,157.1,93.2,2.4
South West London and St George's Mental Health NHS Trust,Nurses & Midwives,588.1,260.4,8.8
South West London and St George's Mental Health NHS Trust,Support Staff,1668.7,337.6,22.7
South West Yorkshire Partnership NHS Foundation Trust,Doctors,126.8,75.2,1.9
South West Yorkshire Partnership NHS Foundation Trust,Nurses & Midwives,1061.8,470.1,15.9
South West Yorkshire Partnership NHS Foundation Trust,Support Staff,2676.5,541.4,36.4
South Western Ambulance Service NHS Foundation Trust,Doctors,2.2,1.3,0.0
South Western Ambulance Service NHS Foundation Trust,Nurses & Midwives,57.7,25.5,0.9
South Western Ambulance Service NHS Foundation Trust,Support Staff,4606.6,931.8,62.7
St George's University Hospitals NHS Foundation Trust,Doctors,1047.1,621.6,15.9
St George's University Hospitals NHS Foundation Trust,Nurses & Midwives,2003.0,886.9,29.9
St George's University Hospitals NHS Foundation Trust,Support Staff,4458.3,901.8,60.6
Stockport NHS Foundation Trust,Doctors,396.7,235.5,6.0
Stockport NHS Foundation Trust,Nurses & Midwives,1297.3,574.4,19.4
Stockport NHS Foundation Trust,Support Staff,2685.0,543.1,36.5
Surrey and Borders Partnership NHS Foundation Trust,Doctors,133.2,79.1,2.0
Surrey and Borders Partnership NHS Foundation Trust,Nurses & Midwives,496.3,219.7,7.4
Surrey and Borders Partnership NHS Foundation Trust,Support Staff,1841.7,372.6,25.0
Surrey and Sussex Healthcare NHS Trust,Doctors,434.8,258.1,6.6
Surrey and Sussex Healthcare NHS Trust,Nurses & Midwives,1066.1,472.0,15.9
Surrey and Sussex Healthcare NHS Trust,Support Staff,2033.2,411.3,27.7
Sussex Community NHS Foundation Trust,Doctors,43.2,25.7,0.7
Sussex Community NHS Foundation Trust,Nurses & Midwives,934.5,413.8,14.0
Sussex Community NHS Foundation Trust,Support Staff,2687.4,543.6,36.6
Sussex Partnership NHS Foundation Trust,Doctors,165.5,98.2,2.5
Sussex Partnership NHS Foundation Trust,Nurses & Midwives,861.7,381.5,12.9
Sussex Partnership NHS Foundation Trust,Support Staff,2804.2,567.3,38.1
Tameside and Glossop Integrated Care NHS Foundation Trust,Doctors,299.0,177.5,4.5
Tameside and Glossop Integrated Care NHS Foundation Trust,Nurses & Midwives,908.2,402.2,13.6
Tameside and Glossop Integrated Care NHS Foundation Trust,Support Staff,2123.5,429.5,28.9
Tavistock and Portman NHS Foundation Trust,Doctors,12.2,7.2,0.2
Tavistock and Portman NHS Foundation Trust,Nurses & Midwives,12.3,5.4,0.2
Tavistock and Portman NHS Foundation Trust,Support Staff,536.1,108.4,7.3
"Tees, Esk and Wear Valleys NHS Foundation Trust",Doctors,243.1,144.3,3.7
"Tees, Esk and Wear Valleys NHS Foundation Trust",Nurses & Midwives,1639.8,726.0,24.5
"Tees, Esk and Wear Valleys NHS Foundation Trust",Support Staff,3807.4,770.2,51.8
Torbay and South Devon NHS Foundation Trust,Doctors,406.5,241.3,6.2
Torbay and South Devon NHS Foundation Trust,Nurses & Midwives,1024.1,453.4,15.3
Torbay and South Devon NHS Foundation Trust,Support Staff,3360.0,679.7,45.7
United Lincolnshire Teaching Hospitals NHS Trust,Doctors,740.6,439.6,11.2
United Lincolnshire Teaching Hospitals NHS Trust,Nurses & Midwives,1830.8,810.6,27.4
United Lincolnshire Teaching Hospitals NHS Trust,Support Staff,4233.8,856.4,57.6
University College London Hospitals NHS Foundation Trust,Doctors,1185.3,703.6,18.0
University College London Hospitals NHS Foundation Trust,Nurses & Midwives,2380.6,1054.1,35.6
University College London Hospitals NHS Foundation Trust,Support Staff,4619.1,934.4,62.8
University Hospital Southampton NHS Foundation Trust,Doctors,1230.7,730.7,18.7
University Hospital Southampton NHS Foundation Trust,Nurses & Midwives,2700.8,1195.8,40.4
University Hospital Southampton NHS Foundation Trust,Support Staff,5223.3,1056.6,71.0
University Hospitals Birmingham NHS Foundation Trust,Doctors,2060.3,1223.1,31.3
University Hospitals Birmingham NHS Foundation Trust,Nurses & Midwives,4455.8,1973.0,66.6
University Hospitals Birmingham NHS Foundation Trust,Support Staff,10965.1,2218.1,149.1
University Hospitals Bristol and Weston NHS Foundation Trust,Doctors,1098.8,652.4,16.7
University Hospitals Bristol and Weston NHS Foundation Trust,Nurses & Midwives,2519.7,1115.6,37.7
University Hospitals Bristol and Weston NHS Foundation Trust,Support Staff,5358.7,1084.0,72.9
University Hospitals Coventry and Warwickshire NHS Trust,Doctors,871.3,517.3,13.2
University Hospitals Coventry and Warwickshire NHS Trust,Nurses & Midwives,2188.8,969.1,32.7
University Hospitals Coventry and Warwickshire NHS Trust,Support Staff,4329.9,875.9,58.9
University Hospitals Dorset NHS Foundation Trust,Doctors,776.1,460.8,11.8
University Hospitals Dorset NHS Foundation Trust,Nurses & Midwives,1792.7,793.7,26.8
University Hospitals Dorset NHS Foundation Trust,Support Staff,4211.9,852.0,57.3
University Hospitals Plymouth NHS Trust,Doctors,860.8,511.0,13.1
University Hospitals Plymouth NHS Trust,Nurses & Midwives,1855.5,821.6,27.7
University Hospitals Plymouth NHS Trust,Support Staff,4903.4,991.9,66.7
University Hospitals Sussex NHS Foundation Trust,Doctors,1473.3,874.7,22.4
University Hospitals Sussex NHS Foundation Trust,Nurses & Midwives,3391.0,1501.4,50.7
University Hospitals Sussex NHS Foundation Trust,Support Staff,7457.6,1508.6,101.4
University Hospitals of Derby and Burton NHS Foundation Trust,Doctors,1085.0,644.2,16.5
University Hospitals of Derby and Burton NHS Foundation Trust,Nurses & Midwives,2630.5,1164.7,39.3
University Hospitals of Derby and Burton NHS Foundation Trust,Support Staff,5990.7,1211.8,81.5
University Hospitals of Leicester NHS Trust,Doctors,1535.4,911.5,23.3
University Hospitals of Leicester NHS Trust,Nurses & Midwives,3507.5,1553.1,52.4
University Hospitals of Leicester NHS Trust,Support Staff,7681.7,1553.9,104.5
University Hospitals of Morecambe Bay NHS Foundation Trust,Doctors,462.5,274.6,7.0
University Hospitals of Morecambe Bay NHS Foundation Trust,Nurses & Midwives,1409.1,623.9,21.1
University Hospitals of Morecambe Bay NHS Foundation Trust,Support Staff,2922.4,591.2,39.7
University Hospitals of North Midlands NHS Trust,Doctors,1025.6,608.9,15.6
University Hospitals of North Midlands NHS Trust,Nurses & Midwives,2574.7,1140.0,38.5
University Hospitals of North Midlands NHS Trust,Support Staff,5206.0,1053.1,70.8
Walsall Healthcare NHS Trust,Doctors,359.1,213.2,5.4
Walsall Healthcare NHS Trust,Nurses & Midwives,1087.2,481.4,16.2
Walsall Healthcare NHS Trust,Support Staff,1914.9,387.4,26.0
Walton Centre NHS Foundation Trust,Doctors,130.6,77.6,2.0
Walton Centre NHS Foundation Trust,Nurses & Midwives,286.7,126.9,4.3
Walton Centre NHS Foundation Trust,Support Staff,699.0,141.4,9.5
Warrington and Halton Teaching Hospitals NHS Foundation Trust,Doctors,316.0,187.6,4.8
Warrington and Halton Teaching Hospitals NHS Foundation Trust,Nurses & Midwives,815.6,361.1,12.2
Warrington and Halton Teaching Hospitals NHS Foundation Trust,Support Staff,2059.9,416.7,28.0
West Hertfordshire Teaching Hospitals NHS Trust,Doctors,527.0,312.8,8.0
West Hertfordshire Teaching Hospitals NHS Trust,Nurses & Midwives,1217.9,539.3,18.2
West Hertfordshire Teaching Hospitals NHS Trust,Support Staff,2248.6,454.8,30.6
West London NHS Trust,Doctors,188.6,112.0,2.9
West London NHS Trust,Nurses & Midwives,975.1,431.7,14.6
West London NHS Trust,Support Staff,3079.6,622.9,41.9
West Midlands Ambulance Service University NHS Foundation Trust,Doctors,2.2,1.3,0.0
West Midlands Ambulance Service University NHS Foundation Trust,Nurses & Midwives,41.6,18.4,0.6
West Midlands Ambulance Service University NHS Foundation Trust,Support Staff,5423.5,1097.1,73.8
West Suffolk NHS Foundation Trust,Doctors,341.0,202.4,5.2
West Suffolk NHS Foundation Trust,Nurses & Midwives,880.5,389.8,13.2
West Suffolk NHS Foundation Trust,Support Staff,2226.3,450.4,30.3
Whittington Health NHS Trust,Doctors,367.1,218.0,5.6
Whittington Health NHS Trust,Nurses & Midwives,971.2,430.0,14.5
Whittington Health NHS Trust,Support Staff,2448.5,495.3,33.3
Wirral Community Health and Care NHS Foundation Trust,Doctors,5.6,3.4,0.1
Wirral Community Health and Care NHS Foundation Trust,Nurses & Midwives,445.9,197.5,6.7
Wirral Community Health and Care NHS Foundation Trust,Support Staff,516.3,104.4,7.0
Wirral University Teaching Hospital NHS Foundation Trust,Doctors,459.1,272.5,7.0
Wirral University Teaching Hospital NHS Foundation Trust,Nurses & Midwives,1167.4,516.9,17.4
Wirral University Teaching Hospital NHS Foundation Trust,Support Staff,2893.5,585.3,39.4
Worcestershire Acute Hospitals NHS Trust,Doctors,577.3,342.7,8.8
Worcestershire Acute Hospitals NHS Trust,Nurses & Midwives,1627.7,720.7,24.3
Worcestershire Acute Hospitals NHS Trust,Support Staff,3144.9,636.2,42.8
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",Doctors,406.2,241.1,6.2
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",Nurses & Midwives,1297.2,574.4,19.4
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",Support Staff,3114.7,630.0,42.4
Wye Valley NHS Trust,Doctors,300.9,178.7,4.6
Wye Valley NHS Trust,Nurses & Midwives,794.2,351.6,11.9
Wye Valley NHS Trust,Support Staff,1739.4,351.8,23.7
York and Scarborough Teaching Hospitals NHS Foundation Trust,Doctors,652.6,387.4,9.9
York and Scarborough Teaching Hospitals NHS Foundation Trust,Nurses & Midwives,1688.8,747.8,25.2
York and Scarborough Teaching Hospitals NHS Foundation Trust,Support Staff,4770.8,965.0,64.9
Yorkshire Ambulance Service NHS Trust,Doctors,1.3,0.8,0.0
Yorkshire Ambulance Service NHS Trust,Nurses & Midwives,113.2,50.1,1.7
Yorkshire Ambulance Service NHS Trust,Support Staff,5238.0,1059.6,71.2
